,date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,year,month
23011,20230101,7.0,0.0,21.0,9.3,11.2,5.2,4.6,100800.0,0.0,2023,1
23012,20230102,3.0,5.2,44.0,13.4,7.2,2.1,0.4,101690.0,0.0,2023,1
23013,20230103,7.0,0.0,9.0,13.9,7.8,9.2,3.0,101860.0,0.0,2023,1
23014,20230104,6.0,0.4,17.0,13.5,11.6,8.9,0.2,101460.0,0.0,2023,1
23015,20230105,8.0,0.4,28.0,12.7,11.2,6.3,2.4,101860.0,0.0,2023,1
23016,20230106,4.0,2.2,34.0,11.4,9.5,6.7,0.6,101380.0,0.0,2023,1
23017,20230107,7.0,0.0,8.0,9.5,9.1,6.5,3.2,100060.0,0.0,2023,1
23018,20230108,6.0,0.2,14.0,9.6,8.0,4.4,7.2,99280.0,0.0,2023,1
23019,20230109,4.0,2.4,38.0,13.0,7.0,3.9,2.0,100140.0,0.0,2023,1
23020,20230110,7.0,0.0,10.0,12.2,8.4,6.8,3.6,100830.0,0.0,2023,1
23021,20230111,5.0,3.1,27.0,12.7,9.5,7.2,4.0,100850.0,0.0,2023,1
23022,20230112,7.0,0.1,14.0,11.5,9.9,7.2,3.8,100310.0,0.0,2023,1
23023,20230113,2.0,4.9,44.0,12.6,9.3,6.0,8.4,100880.0,0.0,2023,1
23024,20230114,8.0,0.1,19.0,8.2,9.3,3.8,1.6,100060.0,0.0,2023,1
23025,20230115,4.0,2.5,33.0,5.3,6.0,2.7,10.8,99840.0,0.0,2023,1
23026,20230116,6.0,1.1,28.0,0.8,4.0,-5.0,0.0,98640.0,0.0,2023,1
23027,20230117,4.0,0.7,35.0,5.2,-2.1,-3.8,0.0,98990.0,0.0,2023,1
23028,20230118,2.0,6.0,60.0,5.6,0.7,-2.7,0.0,99830.0,0.0,2023,1
23029,20230119,3.0,6.0,62.0,6.3,1.4,-1.3,0.0,100820.0,0.0,2023,1
23030,20230120,2.0,5.3,52.0,6.2,2.5,-1.4,0.2,101920.0,0.0,2023,1
23031,20230121,1.0,6.4,58.0,3.7,2.4,-4.7,0.0,103250.0,0.0,2023,1
23032,20230122,1.0,3.6,50.0,5.2,-0.5,-8.4,0.0,103590.0,0.0,2023,1
23033,20230123,4.0,6.3,64.0,5.0,-1.6,-5.1,0.2,103790.0,0.0,2023,1
23034,20230124,5.0,2.9,45.0,6.1,-0.1,-3.3,0.0,103910.0,0.0,2023,1
23035,20230125,7.0,0.0,18.0,8.0,1.4,-0.6,2.8,103330.0,0.0,2023,1
23036,20230126,6.0,0.8,34.0,7.3,3.7,3.9,0.0,103050.0,0.0,2023,1
23037,20230127,6.0,0.2,37.0,6.2,5.6,1.7,0.0,103090.0,0.0,2023,1
23038,20230128,8.0,0.0,30.0,8.9,4.0,3.5,0.0,103210.0,0.0,2023,1
23039,20230129,6.0,0.0,25.0,9.9,6.2,5.0,0.0,102670.0,0.0,2023,1
23040,20230130,3.0,5.6,65.0,12.5,7.5,3.3,0.0,102510.0,0.0,2023,1
23041,20230131,6.0,1.8,40.0,10.4,7.9,4.3,0.0,102510.0,0.0,2023,1
23042,20230201,5.0,2.5,50.0,11.4,7.3,6.0,0.0,102510.0,0.0,2023,2
23043,20230202,7.0,0.4,37.0,13.6,8.7,7.7,0.0,102730.0,0.0,2023,2
23044,20230203,6.0,4.0,61.0,9.4,10.7,8.1,0.0,103150.0,0.0,2023,2
23045,20230204,8.0,0.1,23.0,8.9,8.8,3.3,0.0,103820.0,0.0,2023,2
23046,20230205,2.0,6.1,71.0,11.6,6.1,0.8,0.0,104470.0,0.0,2023,2
23047,20230206,3.0,8.1,87.0,8.8,6.2,-1.7,0.0,104210.0,0.0,2023,2
23048,20230207,2.0,5.1,77.0,8.3,3.5,-3.9,0.0,103900.0,0.0,2023,2
23049,20230208,1.0,8.0,95.0,10.9,2.2,-2.0,0.0,103480.0,0.0,2023,2
23050,20230209,4.0,4.5,72.0,9.1,4.5,-1.9,0.0,103290.0,0.0,2023,2
23051,20230210,4.0,4.6,77.0,10.3,3.6,1.2,0.0,103670.0,0.0,2023,2
23052,20230211,8.0,0.0,25.0,8.7,5.8,7.1,0.0,103680.0,0.0,2023,2
23053,20230212,8.0,0.0,20.0,12.6,7.9,3.1,0.0,103740.0,0.0,2023,2
23054,20230213,3.0,8.3,99.0,12.2,7.8,-0.2,0.0,103410.0,0.0,2023,2
23055,20230214,3.0,4.9,81.0,15.6,6.0,1.2,0.2,103080.0,0.0,2023,2
23056,20230215,5.0,7.4,94.0,13.4,8.4,6.0,0.4,102350.0,0.0,2023,2
23057,20230216,7.0,0.0,38.0,15.2,9.7,9.3,0.0,102020.0,0.0,2023,2
23058,20230217,8.0,0.5,49.0,12.8,12.2,10.3,0.0,102160.0,0.0,2023,2
23059,20230218,8.0,0.0,23.0,13.8,11.6,6.4,0.2,102150.0,0.0,2023,2
23060,20230219,3.0,5.9,94.0,13.8,10.1,5.9,0.0,102640.0,0.0,2023,2
23061,20230220,7.0,1.8,62.0,9.8,9.8,7.5,0.0,102420.0,0.0,2023,2
23062,20230221,8.0,0.0,28.0,9.7,8.7,5.7,3.0,101800.0,0.0,2023,2
23063,20230222,8.0,0.0,31.0,8.9,7.7,5.8,0.4,101200.0,0.0,2023,2
23064,20230223,7.0,0.3,46.0,10.7,7.3,-1.3,0.0,101830.0,0.0,2023,2
23065,20230224,6.0,1.6,59.0,8.2,4.7,3.3,0.0,101420.0,0.0,2023,2
23066,20230225,5.0,1.4,66.0,8.2,5.8,1.2,0.0,101760.0,0.0,2023,2
23067,20230226,3.0,3.6,87.0,8.7,4.7,0.1,0.0,102720.0,0.0,2023,2
23068,20230227,4.0,1.9,70.0,8.0,4.4,1.2,0.0,103180.0,0.0,2023,2
23069,20230228,5.0,0.3,36.0,8.6,4.6,4.0,0.0,103270.0,0.0,2023,2
23070,20230301,8.0,1.4,56.0,9.6,6.3,1.5,0.0,102920.0,0.0,2023,3
23071,20230302,3.0,8.0,130.0,6.9,5.5,3.5,0.0,102610.0,0.0,2023,3
23072,20230303,8.0,0.0,41.0,7.2,5.2,4.6,0.0,102910.0,0.0,2023,3
23073,20230304,8.0,0.0,44.0,5.4,5.9,3.2,0.0,102950.0,0.0,2023,3
23074,20230305,8.0,0.0,41.0,10.1,4.3,0.3,0.0,101930.0,0.0,2023,3
23075,20230306,8.0,0.1,63.0,5.7,5.2,1.9,5.6,100610.0,0.0,2023,3
23076,20230307,7.0,0.2,56.0,3.8,3.8,0.5,5.2,100030.0,0.0,2023,3
23077,20230308,8.0,0.0,27.0,11.6,2.1,1.4,10.2,99160.0,0.0,2023,3
23078,20230309,8.0,0.0,40.0,5.6,6.5,2.7,5.8,99100.0,0.0,2023,3
23079,20230310,7.0,0.7,70.0,10.1,4.2,-2.2,0.0,99710.0,0.0,2023,3
23080,20230311,7.0,4.0,119.0,14.2,4.0,3.2,1.2,100950.0,0.0,2023,3
23081,20230312,6.0,1.3,74.0,14.5,8.7,9.9,1.0,100570.0,0.0,2023,3
23082,20230313,8.0,1.5,86.0,10.3,12.2,4.1,2.0,99050.0,0.0,2023,3
23083,20230314,5.0,5.2,135.0,10.2,7.2,0.0,0.2,100320.0,0.0,2023,3
23084,20230315,4.0,2.6,96.0,14.0,5.1,4.1,3.4,101570.0,0.0,2023,3
23085,20230316,7.0,1.5,93.0,15.2,9.1,10.0,0.4,100620.0,0.0,2023,3
23086,20230317,7.0,2.5,73.0,15.4,12.6,8.9,2.2,100390.0,0.0,2023,3
23087,20230318,7.0,2.5,104.0,11.1,12.2,5.9,1.8,100620.0,0.0,2023,3
23088,20230319,7.0,1.9,93.0,13.3,8.5,7.6,0.2,101590.0,0.0,2023,3
23089,20230320,8.0,0.0,43.0,14.8,10.4,8.8,2.6,101660.0,0.0,2023,3
23090,20230321,8.0,1.8,85.0,15.8,11.8,10.2,1.2,100890.0,0.0,2023,3
23091,20230322,7.0,1.5,101.0,15.5,13.0,8.8,1.0,100090.0,0.0,2023,3
23092,20230323,7.0,2.9,113.0,14.6,12.2,7.5,3.2,99700.0,0.0,2023,3
23093,20230324,5.0,3.8,121.0,14.9,11.1,7.5,11.0,99810.0,0.0,2023,3
23094,20230325,6.0,5.9,159.0,9.2,11.2,6.3,6.8,100360.0,0.0,2023,3
23095,20230326,8.0,0.0,57.0,11.9,7.8,4.1,0.4,100780.0,0.0,2023,3
23096,20230327,6.0,7.1,181.0,11.0,8.0,4.3,0.2,102520.0,0.0,2023,3
23097,20230328,8.0,0.0,46.0,14.0,7.7,7.0,2.0,101880.0,0.0,2023,3
23098,20230329,8.0,0.0,38.0,16.5,10.5,10.3,6.4,100870.0,0.0,2023,3
23099,20230330,7.0,3.5,144.0,15.3,13.4,9.9,7.2,100300.0,0.0,2023,3
23100,20230331,8.0,0.3,64.0,11.9,12.6,8.8,11.2,98910.0,0.0,2023,3
23101,20230401,8.0,0.6,87.0,11.6,10.3,6.5,0.0,100690.0,0.0,2023,4
23102,20230402,5.0,4.4,108.0,12.3,9.1,1.2,0.0,102590.0,0.0,2023,4
23103,20230403,2.0,8.1,202.0,14.9,6.8,0.3,0.0,103010.0,0.0,2023,4
23104,20230404,0.0,11.8,241.0,14.3,7.6,4.3,0.0,102730.0,0.0,2023,4
23105,20230405,7.0,3.0,141.0,15.0,9.3,8.7,3.4,102080.0,0.0,2023,4
23106,20230406,6.0,1.9,104.0,15.9,11.8,4.1,2.4,101450.0,0.0,2023,4
23107,20230407,3.0,10.6,236.0,15.9,10.0,3.9,0.0,102090.0,0.0,2023,4
23108,20230408,2.0,9.2,214.0,16.4,9.9,5.3,0.0,102550.0,0.0,2023,4
23109,20230409,6.0,7.5,205.0,16.0,10.8,10.1,6.2,102140.0,0.0,2023,4
23110,20230410,7.0,3.9,125.0,13.3,13.1,5.9,5.6,101010.0,0.0,2023,4
23111,20230411,5.0,4.0,123.0,12.2,9.6,4.8,8.2,100860.0,0.0,2023,4
23112,20230412,7.0,4.5,172.0,14.0,8.5,5.8,0.8,99360.0,0.0,2023,4
23113,20230413,4.0,9.6,220.0,10.6,9.9,3.6,1.2,100190.0,0.0,2023,4
23114,20230414,7.0,0.4,112.0,16.0,7.1,6.7,6.2,100460.0,0.0,2023,4
23115,20230415,7.0,5.1,172.0,16.1,11.3,7.7,0.0,101830.0,0.0,2023,4
23116,20230416,7.0,3.4,173.0,17.5,11.9,10.4,0.0,102620.0,0.0,2023,4
23117,20230417,5.0,5.7,182.0,13.2,13.9,7.5,0.0,102770.0,0.0,2023,4
23118,20230418,7.0,3.7,118.0,16.7,10.3,7.8,0.0,102770.0,0.0,2023,4
23119,20230419,3.0,7.3,182.0,16.2,12.2,4.3,0.0,102500.0,0.0,2023,4
23120,20230420,2.0,9.5,246.0,11.4,10.2,6.3,1.6,102110.0,0.0,2023,4
23121,20230421,6.0,1.6,96.0,14.6,8.8,3.0,3.8,101240.0,0.0,2023,4
23122,20230422,6.0,4.1,146.0,15.3,8.8,8.4,0.6,100560.0,0.0,2023,4
23123,20230423,7.0,1.6,119.0,12.8,11.8,5.8,6.0,100140.0,0.0,2023,4
23124,20230424,7.0,3.7,150.0,12.4,9.3,2.4,11.8,101020.0,0.0,2023,4
23125,20230425,4.0,8.9,233.0,11.5,7.4,4.8,0.0,101840.0,0.0,2023,4
23126,20230426,8.0,0.0,85.0,15.1,8.2,5.5,0.0,101850.0,0.0,2023,4
23127,20230427,6.0,0.0,88.0,18.6,10.3,9.5,8.0,101480.0,0.0,2023,4
23128,20230428,7.0,1.6,141.0,19.1,14.1,6.2,0.0,101170.0,0.0,2023,4
23129,20230429,2.0,9.3,240.0,17.8,12.7,6.1,0.0,102060.0,0.0,2023,4
23130,20230430,4.0,6.1,195.0,18.1,11.9,10.5,0.0,102100.0,0.0,2023,4
23131,20230501,6.0,3.8,163.0,15.1,14.3,9.1,3.4,101840.0,0.0,2023,5
23132,20230502,5.0,1.9,117.0,15.6,12.1,5.5,0.0,102640.0,0.0,2023,5
23133,20230503,0.0,12.8,299.0,19.0,10.6,7.7,0.0,102570.0,0.0,2023,5
23134,20230504,6.0,4.9,183.0,19.5,13.3,11.3,0.0,101510.0,0.0,2023,5
23135,20230505,5.0,6.7,221.0,14.5,15.4,9.8,1.8,101400.0,0.0,2023,5
23136,20230506,7.0,0.0,71.0,20.6,12.2,12.2,5.6,101380.0,0.0,2023,5
23137,20230507,5.0,3.9,148.0,15.0,16.4,10.2,0.0,101740.0,0.0,2023,5
23138,20230508,6.0,0.0,82.0,18.2,12.6,12.3,9.0,101890.0,0.0,2023,5
23139,20230509,7.0,1.0,132.0,18.0,15.2,9.2,6.4,101090.0,0.0,2023,5
23140,20230510,6.0,6.6,213.0,18.8,13.6,8.9,9.6,101290.0,0.0,2023,5
23141,20230511,5.0,5.8,197.0,13.8,13.8,9.5,0.0,101610.0,0.0,2023,5
23142,20230512,7.0,1.2,109.0,14.0,11.7,9.4,0.2,102280.0,0.0,2023,5
23143,20230513,8.0,0.0,100.0,21.4,11.7,8.4,0.0,102630.0,0.0,2023,5
23144,20230514,6.0,6.5,242.0,17.0,14.9,9.8,2.4,102060.0,0.0,2023,5
23145,20230515,5.0,8.8,251.0,17.5,13.4,6.8,0.0,102040.0,0.0,2023,5
23146,20230516,2.0,8.7,259.0,19.0,12.2,7.5,0.0,102530.0,0.0,2023,5
23147,20230517,4.0,5.9,204.0,20.4,13.2,9.1,0.0,102840.0,0.0,2023,5
23148,20230518,7.0,7.1,234.0,17.9,14.8,10.1,0.0,102810.0,0.0,2023,5
23149,20230519,6.0,2.3,180.0,20.1,14.0,7.1,0.0,102720.0,0.0,2023,5
23150,20230520,3.0,7.6,255.0,19.7,13.6,8.5,0.0,102520.0,0.0,2023,5
23151,20230521,4.0,5.8,219.0,19.7,14.1,12.0,0.0,102180.0,0.0,2023,5
23152,20230522,5.0,3.9,149.0,18.9,15.8,9.1,0.0,102160.0,0.0,2023,5
23153,20230523,2.0,6.7,230.0,21.9,14.0,8.6,0.0,102670.0,0.0,2023,5
23154,20230524,1.0,12.8,308.0,19.4,15.2,11.6,0.0,102590.0,0.0,2023,5
23155,20230525,4.0,9.3,292.0,20.4,15.5,8.7,0.0,102940.0,0.0,2023,5
23156,20230526,2.0,12.1,335.0,22.1,14.6,8.4,0.0,103130.0,0.0,2023,5
23157,20230527,0.0,13.7,336.0,22.7,15.2,9.0,0.0,102630.0,0.0,2023,5
23158,20230528,1.0,11.9,312.0,18.4,15.8,8.3,0.0,102340.0,0.0,2023,5
23159,20230529,1.0,11.8,317.0,18.6,13.3,9.1,0.0,102770.0,0.0,2023,5
23160,20230530,5.0,7.2,284.0,19.6,13.8,10.3,0.0,102940.0,0.0,2023,5
23161,20230531,6.0,5.9,235.0,19.8,14.9,9.9,0.0,102700.0,0.0,2023,5
23162,20230601,6.0,7.1,251.0,19.4,14.8,10.5,0.0,102550.0,0.0,2023,6
23163,20230602,5.0,9.1,292.0,22.8,14.9,7.4,0.0,102450.0,0.0,2023,6
23164,20230603,3.0,8.8,275.0,22.9,15.1,9.1,0.0,102350.0,0.0,2023,6
23165,20230604,0.0,13.9,0.0,18.8,16.0,9.5,0.0,102390.0,0.0,2023,6
23166,20230605,6.0,5.8,226.0,18.0,14.2,11.4,0.0,102450.0,0.0,2023,6
23167,20230606,7.0,3.1,169.0,22.7,14.7,10.6,0.0,102360.0,0.0,2023,6
23168,20230607,4.0,9.4,289.0,23.4,16.6,10.3,0.0,102180.0,0.0,2023,6
23169,20230608,2.0,11.9,325.0,27.0,16.9,11.7,0.0,101840.0,0.0,2023,6
23170,20230609,2.0,11.6,317.0,31.0,19.4,13.1,0.0,101400.0,0.0,2023,6
23171,20230610,1.0,12.0,290.0,31.2,22.1,16.5,0.0,101310.0,0.0,2023,6
23172,20230611,4.0,7.6,209.0,28.7,23.9,16.9,12.8,101380.0,0.0,2023,6
23173,20230612,5.0,6.0,237.0,28.8,22.8,14.2,26.6,101440.0,0.0,2023,6
23174,20230613,0.0,14.2,339.0,28.7,21.5,11.4,0.0,101430.0,0.0,2023,6
23175,20230614,0.0,13.0,322.0,27.5,20.1,14.1,0.0,101740.0,0.0,2023,6
23176,20230615,1.0,11.8,300.0,28.1,20.8,15.2,0.0,102000.0,0.0,2023,6
23177,20230616,1.0,12.2,326.0,26.2,21.6,14.6,0.0,101910.0,0.0,2023,6
23178,20230617,4.0,7.5,253.0,27.1,20.4,16.8,1.0,101410.0,0.0,2023,6
23179,20230618,7.0,4.1,188.0,25.0,21.9,14.5,2.6,100900.0,0.0,2023,6
23180,20230619,4.0,9.2,285.0,22.9,19.8,16.9,4.0,101050.0,0.0,2023,6
23181,20230620,6.0,3.9,166.0,25.8,19.9,15.4,0.0,100820.0,0.0,2023,6
23182,20230621,3.0,10.0,268.0,29.0,20.6,14.5,0.0,101590.0,0.0,2023,6
23183,20230622,4.0,9.6,301.0,27.6,21.8,16.4,0.0,101880.0,0.0,2023,6
23184,20230623,2.0,10.3,299.0,29.2,22.0,16.0,0.0,102330.0,0.0,2023,6
23185,20230624,4.0,8.1,267.0,31.3,22.6,15.9,0.0,102270.0,0.0,2023,6
23186,20230625,1.0,13.0,333.0,23.3,23.6,13.9,0.0,101450.0,0.0,2023,6
23187,20230626,3.0,8.1,254.0,23.2,18.6,14.4,0.0,101980.0,0.0,2023,6
23188,20230627,7.0,2.3,178.0,26.6,18.8,18.3,0.0,102090.0,0.0,2023,6
23189,20230628,8.0,0.7,112.0,23.0,22.4,15.0,9.0,101700.0,0.0,2023,6
23190,20230629,7.0,4.8,208.0,19.4,19.0,11.8,0.2,101600.0,0.0,2023,6
23191,20230630,6.0,1.1,128.0,23.2,15.6,15.8,0.6,101190.0,0.0,2023,6
23192,20230701,8.0,2.4,155.0,22.2,19.5,12.0,0.0,100640.0,0.0,2023,7
23193,20230702,4.0,7.6,244.0,21.6,17.1,12.2,0.0,101170.0,0.0,2023,7
